Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
Spring Inc,https://www.crunchbase.com/organization/spring-inc,Series C,65000000,5/11/17
Jaunt,https://www.crunchbase.com/organization/jaunt,Series C,65000000,9/21/15
Audentes Therapeutics,https://www.crunchbase.com/organization/audentes-therapeutics,Series C,65000000,10/13/15
Dimension Therapeutics,https://www.crunchbase.com/organization/dimension-therapeutics,Series B,65000000,4/21/15
EverString,https://www.crunchbase.com/organization/everstring,Series B,65000000,10/13/15
Flexport,https://www.crunchbase.com/organization/flexport,Series B,65000000,9/26/16
Porch,https://www.crunchbase.com/organization/porch,Series B,65000000,1/20/15
UNUM Therapeutics,https://www.crunchbase.com/organization/unum-therapeutics,Series B,65000000,6/11/15
AveXis,https://www.crunchbase.com/organization/avexis,Series D,65000000,9/8/15
Clutter,https://www.crunchbase.com/organization/clutter,Series C,64000000,6/13/17
Coursera,https://www.crunchbase.com/organization/coursera,Series D,64000000,6/7/17
E-scape Bio,https://www.crunchbase.com/organization/e-scape-bio,Series A,63000000,7/12/17
Doctor On Demand,https://www.crunchbase.com/organization/doctor-on-demand,Series B,62749919,7/20/15
Convoy,https://www.crunchbase.com/organization/convoy-3,Series B,62000000,7/25/17
Millendo Therapeutics,https://www.crunchbase.com/organization/atterocor,Series B,62000000,1/5/16
Yik Yak,https://www.crunchbase.com/organization/yik-yak,Series B,62000000,11/24/14
Kymeta,https://www.crunchbase.com/organization/kymeta,Series D,62000000,1/11/16
Ring,https://www.crunchbase.com/organization/ring,Series C,61200000,3/16/16
Rubrik,https://www.crunchbase.com/organization/rubrik,Series C,61000000,8/16/16
Codiak Biosciences,https://www.crunchbase.com/organization/codiak-biosciences,Series B,61000000,1/26/16
Twist Bioscience,https://www.crunchbase.com/organization/twist-biosciences,Series D,61000000,1/19/16
Upgrade,https://www.crunchbase.com/organization/upgrade,Series A,60000000,4/6/17
ThoughtSpot,https://www.crunchbase.com/organization/thoughtspot,Series C,60000000,8/17/17
Databricks,https://www.crunchbase.com/organization/databricks,Series C,60000000,12/15/16
Branch,https://www.crunchbase.com/organization/branch-metrics,Series C,60000000,4/10/17
Memebox Corporation,https://www.crunchbase.com/organization/memebox,Series C,60000000,12/15/16
Compass,https://www.crunchbase.com/organization/compassinc,Series C,60000000,9/15/15
Beepi,https://www.crunchbase.com/organization/beepi,Series B,60000000,10/6/14
SutroVax,https://www.crunchbase.com/organization/sutrovax,Series B,60000000,3/21/17
Voyager Therapeutics,https://www.crunchbase.com/organization/voyager-therapeutics,Series B,60000000,4/13/15
Cybereason,https://www.crunchbase.com/organization/cybereason,Series C,59000000,10/12/15
LAM Therapeutics,https://www.crunchbase.com/organization/lam-therapeutics,Series C,58000000,3/30/17
Vessel,https://www.crunchbase.com/organization/vessel-2,Series B,57500000,4/17/15
"Oncorus, Inc.",https://www.crunchbase.com/organization/oncorus-inc,Series A,57000000,7/19/16
Relay Therapeutics,https://www.crunchbase.com/organization/relay-therapeutics,Series A,57000000,9/14/16
Barefoot Networks,https://www.crunchbase.com/organization/barefoot-networks,Series C,57000000,6/14/16
Juno Therapeutics,https://www.crunchbase.com/organization/juno-therapeutics,Series A,56000000,4/24/14
Jounce Therapeutics,https://www.crunchbase.com/organization/jounce-therapeutics,Series B,56000000,4/23/15
Fulcrum Therapeutics,https://www.crunchbase.com/organization/fulcrum-therapeutics,Series A,55000000,7/19/16
Jet,https://www.crunchbase.com/organization/jet,Series A,55000000,7/29/14
Neon Therapeutics,https://www.crunchbase.com/organization/neon-therapeutics,Series A,55000000,10/1/15
fuboTV,https://www.crunchbase.com/organization/fubotv,Series C,55000000,6/19/17
Datrium,https://www.crunchbase.com/organization/datrium,Series C,55000000,12/5/16
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series C,55000000,3/17/16
Giphy,https://www.crunchbase.com/organization/giphy,Series C,55000000,2/16/16
Tricida,https://www.crunchbase.com/organization/tricida,Series C,55000000,7/25/16
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series B,55000000,1/12/15
Casper,https://www.crunchbase.com/organization/casper,Series B,55000000,6/22/15
Cohesity,https://www.crunchbase.com/organization/cohesity,Series B,55000000,6/17/15
Ripple,https://www.crunchbase.com/organization/ripple-labs,Series B,55000000,9/15/16
PillPack,https://www.crunchbase.com/organization/pillpack,Series D,55000000,9/6/16
Vroom,https://www.crunchbase.com/organization/vroom-com,Series C,54000000,7/20/15
Maestro Health,https://www.crunchbase.com/organization/maestro-healthcare-technology,Series A,53036612,2/12/16
Algolia,https://www.crunchbase.com/organization/algolia,Series B,53000000,6/7/17
ORIC Pharmaceuticals,https://www.crunchbase.com/organization/oric-pharmaceuticals,Series B,53000000,12/2/15
Syros Pharmaceuticals,https://www.crunchbase.com/organization/syros-pharmaceuticals,Series B,53000000,10/27/14
Livongo,https://www.crunchbase.com/organization/livongo-health,Series D,52500000,3/16/17
Decibel Therapeutics,https://www.crunchbase.com/organization/decibel-therapeutics,Series A,52000000,10/15/15
Color Genomics,https://www.crunchbase.com/organization/color-genomics,Series C,52000000,8/16/17
Wavefront,https://www.crunchbase.com/organization/wavefront,Series B,52000000,10/24/16
Spero Therapeutics,https://www.crunchbase.com/organization/spero-therapeutics,Series C,51700000,3/8/17
Morphic Therapeutic,https://www.crunchbase.com/organization/morphic-rock-therapeutic,Series A,51500000,6/30/16
Yumanity Therapeutics,https://www.crunchbase.com/organization/yumanity-therapeutics,Series A,51018711,2/22/16
Adicet Bio,https://www.crunchbase.com/organization/adicet-bio,Series A,51000000,1/27/16
Layer3 TV,https://www.crunchbase.com/organization/layer3-tv,Series B,51000000,6/4/15
Atom Tickets,https://www.crunchbase.com/organization/atom-tickets,Series A,50000000,1/31/16
Carvana,https://www.crunchbase.com/organization/carvana,Series A,50000000,1/23/13
