Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Stryde Men,https://www.crunchbase.com/organization/stryde-men,"Clothing and Apparel, Design","Los Angeles, California, United States",Mens Style Curation Algorithm by Mood & Occassion,"52,771",3/6/15,,1,3/27/15,50000,Seed,50000,Operating
Sportstage Inc,https://www.crunchbase.com/organization/sportstage-inc,"Sports, Professional Services","Kaneohe, Hawaii, United States",Sportstage Inc offers a social network with a built-in recruiting platform for athletes.,"54,356",3/28/15,,1,3/28/15,100000,Seed,100000,Operating
PIVOTtheWorld,https://www.crunchbase.com/organization/pivottheworld,Travel and Tourism,"Cambridge, Massachusetts, United States",See your world through a tunnel of time!,"55,520",1/1/15,,2,3/29/15,33689,Seed,63689,Operating
Splore,https://www.crunchbase.com/organization/splore-2,"Apps, Media and Entertainment, Software, Content and Publishing, Mobile","San Francisco, California, United States",Splore is a mobile application that enables community members to follow hashtags to access the best photos from around the world.,"35,402",12/1/13,,1,3/30/15,380000,Seed,380000,Operating
CTRL+Console,https://www.crunchbase.com/organization/ctrl+console,"Apps, Science and Engineering, Software, Education, Design","Boulder, Colorado, United States","CTRL+Console is a mobile application that turns its users iPad into a touchscreen console, optimizes their workflow, and more.","65,503",6/1/12,,1,3/31/15,261000,Seed,261000,Operating
"Luxury Trading Club, LLC",https://www.crunchbase.com/organization/luxury-trading-club-llc,"Commerce and Shopping, Community and Lifestyle","Fort Lauderdale, Florida, United States","Luxury marketplace and shopping mall with over $50 billion in listings from 37 countries. Parent company of Auction House Portal, Inc.","34,051",4/15/12,,2,3/31/15,425000,Seed,1525000,Operating
ZON,https://www.crunchbase.com/organization/zon,"Natural Resources, Energy, Hardware, Sustainability, Consumer Electronics, Mobile","El Segundo, California, United States","Welcome to ZON, a technology solution company catering to the charging demands of mobile device consumers.","29,204",8/1/12,,1,3/31/15,2500000,Seed,2500000,Operating
Guidecentral,https://www.crunchbase.com/organization/guidecentral,"Media and Entertainment, Consumer Goods, Education, Mobile","New York, New York, United States","Guidecentral is an online platform that enables DIY fans to create, share, and explore DIY projects.","24,102",1/1/12,,3,4/1/15,1000000,Seed,1500000,Was Acquired
Hapzing,https://www.crunchbase.com/organization/hapzing,"Media and Entertainment, Events, Mobile","Cincinnati, Ohio, United States",Hapzing is a social platform that allows people to to share about events and places that they care about.,"55,673",4/1/12,,3,4/1/15,10000,Seed,50000,Operating
Readymag,https://www.crunchbase.com/organization/readymag,"Media and Entertainment, Software, Content and Publishing, Design, Mobile","New York, New York, United States","Readymag is a web-based tool that enables its users to create websites, presentations, digital magazines, and more.","32,728",1/1/12,,2,4/1/15,500000,Seed,760000,Operating
WikiRealty,https://www.crunchbase.com/organization/wikirealty,"Real Estate, Internet Services","Santa Monica, California, United States",WikiRealtyŒ¬ is the first online community where people gather to share local knowledge about residential and commercial real estate.,"32,423",6/1/12,,2,4/1/15,600000,Seed,1900000,Operating
Dollop,https://www.crunchbase.com/organization/prezto,"Apps, Software, Mobile","Cleveland, Ohio, United States",Mobile application that lets users give real treats to friends using an emoji,"45,417",1/1/13,,2,4/1/15,230000,Seed,230000,Operating
Honeymoon Brands,https://www.crunchbase.com/organization/honeymoon-brands,Commerce and Shopping,"Mill Valley, California, United States",Ultra Premium Ice Cream and Dairy,"44,313",1/1/13,,1,4/1/15,600000,Seed,600000,Operating
NexTravel,https://www.crunchbase.com/organization/nextravel,"Apps, Travel and Tourism, Software","New York, New York, United States",NexTravel is a company focused specifically on making it easier to manage business travel.,"26,870",1/1/13,,1,4/1/15,120000,Seed,120000,Operating
Right Financial Advisor,https://www.crunchbase.com/organization/right-financial-advisor,"Media and Entertainment, Financial Services","Holbrook, New York, United States",Right Financial Advisor is a leading source for matching investors to local financial professionals suited to fit their unique needs.,"52,649",1/1/13,,1,4/1/15,250000,Seed,250000,Operating
Skoop,https://www.crunchbase.com/organization/skoop,"Sports, Health Care","Boulder, Colorado, United States","Skoop is a company dedicated to fighting disease, inflammation and general un-awesomeness","39,489",1/1/13,,2,4/1/15,850000,Seed,1850000,Operating
MENYOOO,https://www.crunchbase.com/organization/menyooo,Food and Beverage,"Los Angeles, California, United States","Open Your Own Restaurant, Online!","64,084",7/7/13,,1,4/1/15,7000,Seed,7000,Operating
Dyer & Jenkins,https://www.crunchbase.com/organization/dyer-jenkins,"Commerce and Shopping, Clothing and Apparel, Design","Venice, California, United States",Dyer & Jenkins is a company that manufactures clothing items for adventurers.,"42,241",10/1/13,,1,4/1/15,500000,Seed,500000,Operating
YesPath,https://www.crunchbase.com/organization/yespath,Software,"San Francisco, California, United States",SaaS platform for Adaptive Marketing,"13,665",1/1/14,,1,4/1/15,1700000,Seed,1700000,Operating
Tyche,https://www.crunchbase.com/organization/tyche,"Software, Professional Services","New York, New York, United States",Tyche discovers new information to help insurers make smart decisions about the risks they insure.,"19,870",1/1/14,,2,4/1/15,40000,Seed,68000,Operating
Radish,https://www.crunchbase.com/organization/radish,"Commerce and Shopping, Food and Beverage, Transportation","Chicago, Illinois, United States",Healthy meals delivered hot to your door in 15 minutes,"17,090",1/1/14,,1,4/1/15,1800000,Seed,1800000,Operating
Vectr,https://www.crunchbase.com/organization/vectr-4,Design,"San Francisco, California, United States",Vectr integrates a powerful vector editor with built-in collaboration.,"25,115",11/25/14,,1,4/1/15,200000,Seed,200000,Operating
Presentigo,https://www.crunchbase.com/organization/presentigo,"Information Technology, Software, Sales and Marketing","Boston, Massachusetts, United States",Presentigo makes life easier for sales people in the field.,"36,914",8/10/14,,3,4/1/15,500000,Seed,720000,Operating
MyDiaspora,https://www.crunchbase.com/organization/mydiaspora,"Community and Lifestyle, Mobile","Sunnyvale, California, United States",Dating app for muslims (a-laTinder for the East). Complied with Halal. Created according Eastern traditions,"48,226",5/1/14,,2,4/1/15,50000,Seed,150000,Operating
mPoint Media,https://www.crunchbase.com/organization/mpoint-media,"Data and Analytics, Software, Internet Services, Mobile, Advertising","New York, New York, United States",mPoint is an in-app mobile and advertising network that enables Western brands to access business opportunities in China.,"33,209",9/22/14,,3,4/1/15,500000,Seed,1700000,Operating
The Herbalista Set,https://www.crunchbase.com/organization/the-herbalista-set,,"Denver, Colorado, United States","A nature-based, self-care brand for women.","52,450",3/20/15,,1,4/1/15,20000,Seed,20000,Operating
OpenCall,https://www.crunchbase.com/organization/opencall,"Apps, Software, Sales and Marketing, Mobile","Los Angeles, California, United States","OpenCall is the largest mobile platform for connecting creatives, talents & brands.","44,680",3/15/15,,1,4/1/15,250000,Seed,250000,Operating
Moji Keyboard,https://www.crunchbase.com/organization/moji-keyboard,"Apps, Software","Binghamton, New York, United States",Moji is a digital marketplace for brands and artists to provide custom emoji keyboards for their fans.,"42,005",5/1/15,,1,4/1/15,100000,Seed,100000,Operating
Meed,https://www.crunchbase.com/organization/meed-2,"Commerce and Shopping, Community and Lifestyle, Internet Services","San Francisco, California, United States",The Platform for Professional Learning Groups,"25,691",2/21/15,,1,4/1/15,575000,Seed,575000,Operating
Glasshous,https://www.crunchbase.com/organization/glasshous,Commerce and Shopping,"Boulder, Colorado, United States","Glasshous.com is a high-end, online head shop for modern cannabis consumers.","57,051",4/1/15,,1,4/1/15,20000,Seed,20000,Operating
ClinicNote,https://www.crunchbase.com/organization/clinicnote,"Health Care, Financial Services","Des Moines, Iowa, United States",Improving the lives of speech therapists across the country!,"51,906",1/1/15,,1,4/1/15,40000,Seed,40000,Operating
Castifi,https://www.crunchbase.com/organization/castifi,"Media and Entertainment, Events, Video","Playa Vista, California, United States","A platform for users to book, manage, and pay talent for film, TV and new media content.","22,949",8/1/15,,1,4/1/15,350000,Seed,350000,Operating
Wikipad,https://www.crunchbase.com/organization/wikipad,"Gaming, Hardware, Consumer Electronics","Westlake Village, California, United States",The Wikipad is an Android-powered gaming tablet. The device has all the features of a high quality tablet and is tough enough to take all,"31,652",1/1/12,,2,4/2/15,398800,Seed,1398800,Operating
Conceivable,https://www.crunchbase.com/organization/conceivable,"Health Care, Mobile","Austin, Texas, United States",Conceivable is the first modern fertility program that radically improves a womanäó»s natural ability to get and stay pregnant.,"30,319",10/1/13,,1,4/2/15,800000,Seed,800000,Operating
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,"Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",PicnicHealth is a subscription-based service that tracks and stores medical records creating a comprehensive health timeline for its users.,"13,540",1/17/14,,2,4/2/15,2000000,Seed,2120000,Operating
High There!,https://www.crunchbase.com/organization/high-there-,"Apps, Media and Entertainment, Information Technology, Community and Lifestyle, Software, Internet Services, Privacy and Security, Mobile","Denver, Colorado, United States",High There! is a dating application for cannabis consumers worldwide.,"26,749",8/1/14,,2,4/2/15,300000,Seed,700000,Operating
Revolve Robotics,https://www.crunchbase.com/organization/revolve-robotics,"Science and Engineering, Hardware, Information Technology, Consumer Electronics, Software, Health Care, Education, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Revolve Robotics's Kubi Telepresence Robot lets people look around and be present when itäó»s critical in education, healthcare and business","11,858",3/1/12,,4,4/3/15,1325000,Seed,2107500,Operating
Huedoku,https://www.crunchbase.com/organization/huedoku,"Apps, Media and Entertainment, Software","Honolulu, Hawaii, United States",Brain Training with Color: Puzzle App,"57,845",3/23/14,,1,4/3/15,20000,Seed,20000,Operating
