Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Mobilize,https://www.crunchbase.com/organization/mobilize-2,"Community and Lifestyle, Software","San Francisco, California, United States",Mobilize is a group communication solution designed to help businesses organize and communicate with their networks of partners.,"5,467",1/1/14,,4,9/21/16,6500000,Series A,8500000,Operating
Mobile Motion,https://www.crunchbase.com/organization/mobile-motion,"Media and Entertainment, Content and Publishing","Woodland Hills, California, United States",Mobile Motion is providing helping ordinary people to connect with the internet.,"23,325",3/1/13,,1,7/28/15,5238521,Series A,5238521,Operating
mNectar,https://www.crunchbase.com/organization/mnectar,"Hardware, Information Technology, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",mNectar is a mobile application streaming company that allows its customers to preview apps prior to download them.,"9,249",11/1/12,,3,1/14/15,1000000,Series A,9625000,Operating
Misty Robotics,https://www.crunchbase.com/organization/misty-robotics,"Science and Engineering, Hardware, Consumer Electronics, Software","Boulder, Colorado, United States","Misty Robotics, a spinoff of Sphero, is a hardware company that builds personal robots for homes and offices.","38,238",1/1/17,,1,6/20/17,11500000,Series A,11500000,Operating
misterb&b,https://www.crunchbase.com/organization/misterbnb,"Travel and Tourism, Community and Lifestyle","San Francisco, California, United States",misterb&b is the the largest gay hotelier in the world.,"8,137",4/10/13,,2,6/6/17,8500000,Series A,10500000,Operating
Mironid,https://www.crunchbase.com/organization/mironid,"Biotechnology, Science and Engineering, Health Care, Advertising","Scotland, Indiana, United States","Mironid is a drug discovery company focused on therapeutics for degenerative kidney diseases, chronic inflammatory diseases, and cancer.","23,395",1/1/14,,1,6/20/16,6200000,Series A,6200000,Operating
Mirador,https://www.crunchbase.com/organization/mirador-financial,"Information Technology, Financial Services, Lending and Investments","Portland, Oregon, United States",Mirador is the leading front-end small business lending platform supporting established lenders with application through underwriting.,"8,302",1/1/14,,2,11/30/15,7000000,Series A,9700000,Operating
Mineralist,https://www.crunchbase.com/organization/mineralist,"Natural Resources, Energy, Sustainability","Richardson, Texas, United States",The Mineral Marketplace for Everybody,"57,693",1/1/12,,1,6/9/14,105000,Series A,105000,Operating
Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,,"Palo Alto, California, United States",Mindstrong Health is transforming the diagnosis and treatment of behavioral health disorders through the ubiquity of mobile technology,"1,699",1/1/14,,1,6/15/17,14000000,Series A,14000000,Operating
"Mindshow, Inc",https://www.crunchbase.com/organization/visionary-vr,"Hardware, Software, Internet Services","Los Angeles, California, United States","Mindshow is an app for creating, sharing, and experiencing shows in VR.","6,850",1/1/15,,1,3/23/16,6000000,Series A,6000000,Operating
MileIQ,https://www.crunchbase.com/organization/mileiq,"Apps, Software, Financial Services, Mobile","San Francisco, California, United States",MileIQ - Smart mileage tracking.,"5,031",10/11/12,,2,1/29/15,12113623,Series A,15113623,Operating
MIKA,https://www.crunchbase.com/organization/mika,"Commerce and Shopping, Clothing and Apparel, Internet Services, Design","New York, New York, United States",MIKA is a provider of complete looks curated by expert stylists from the best brands.,"37,303",1/1/12,,2,2/15/13,1200000,Series A,1700000,Operating
Mighty Networks,https://www.crunchbase.com/organization/mightynetworks,"Community and Lifestyle, Software, Professional Services","Palo Alto, California, United States",Mighty Networks is the fastest way to create and grow a community-powered brand on your own deep interest social network.,"1,799",1/1/12,,4,10/25/16,5000000,Series A,5000000,Operating
Mighty,https://www.crunchbase.com/organization/thatsmighty,"Professional Services, Financial Services","New York, New York, United States","Mighty provides funders an all-in-one platform to manage and grow their businesses, ultimately helping plaintiffs get fairer outcomes","11,845",1/1/14,,3,9/16/15,5250000,Series A,5250000,Operating
Mezi,https://www.crunchbase.com/organization/mezi,"Apps, Science and Engineering, Travel and Tourism, Data and Analytics, Software, Artificial Intelligence, Mobile","Sunnyvale, California, United States","Mezi is an AI-powered personal travel assistant, accessible 24x7, over messaging.","2,518",6/1/15,,2,7/26/16,9000000,Series A,11800000,Operating
Metavine,https://www.crunchbase.com/organization/metavine,Software,"San Jose, California, United States",Software Platform and Application Company,"14,057",1/1/13,,1,8/31/15,5500000,Series A,5500000,Operating
Metal Networks,https://www.crunchbase.com/organization/metal-networks,,"Houston, Texas, United States",Metal Networks is the worldwide solution for buying and selling semi-finished industrial metal.,"23,474",1/1/13,,1,11/12/14,5000000,Series A,5000000,Operating
Metacrine,https://www.crunchbase.com/organization/metacrine,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",Metacrine is a privately held biotech company äóÂ,"8,256",1/1/15,,1,8/5/15,36000000,Series A,36000000,Operating
MetaBrite,https://www.crunchbase.com/organization/metabrite,"Information Technology, Data and Analytics","Seattle, Washington, United States",MetaBrite is the next generation of consumer behavioral insights.,"6,696",11/1/15,,2,6/26/17,13251966,Series A,18076966,Operating
MessageMe,https://www.crunchbase.com/organization/messageme,"Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",MessageMe is a mobile messenger application enabling users to personalize their messages and connect with others.,"5,632",1/1/12,,3,5/16/13,10000000,Series A,11900000,Was Acquired
Mersibo,https://www.crunchbase.com/organization/mersibo,"Software, Education","Russia, Ohio, United States",Mersibo is developing an educational center for children.,"49,982",1/1/13,,1,4/23/14,210000,Series A,210000,Operating
Mercaris,https://www.crunchbase.com/organization/mercaris,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Financial Services, Lending and Investments, Design","Silver Spring, Maryland, United States",Market data service/trading platform,"21,861",1/1/12,,2,11/25/14,2500000,Series A,2500000,Operating
Memphis Meats,https://www.crunchbase.com/organization/memphis-meats,Food and Beverage,"San Francisco, California, United States",Memphis Meats is a startup developing meat produced directly from animal cells without the need to raise and slaughter actual animals.,69,1/1/15,,4,8/23/17,17000000,Series A,20053000,Operating
MeetingPlay,https://www.crunchbase.com/organization/meetingplay,"Media and Entertainment, Events, Content and Publishing","Frederick, Maryland, United States","MeetingPlay - Custom, Branded Apps for Events and Conferences.","1,532",1/1/13,,2,12/23/16,2000000,Series A,2625000,Operating
MediQuire,https://www.crunchbase.com/organization/mediquire,Data and Analytics,"New York, New York, United States",A health IT company developing big data analysis geared to the treatment of Medicaid patients,"56,757",1/1/13,,3,4/4/16,4000000,Series A,4020000,Operating
Medici,https://www.crunchbase.com/organization/medici-technologies,Health Care,"Austin, Texas, United States",Medici is recreating the doctor-patient relationship with global & mobile health+care platform.,"5,826",1/1/16,,1,11/28/16,24165000,Series A,24165000,Operating
Medacheck LLC,https://www.crunchbase.com/organization/medacheck-llc,"Software, Health Care","Cincinnati, Ohio, United States",Medical Adherence--Simplified The MedaCheck platform is a comprehensive hardware and software solution that works alongside healthcare,"24,609",6/10/12,,2,3/6/15,1150000,Series A,1665000,Operating
MealPal,https://www.crunchbase.com/organization/mealpal,"Food and Beverage, Internet Services","New City, New York, United States",MealPal is a subscription service that provides members with affordable daily lunch options from restaurants near where they live or work.,"2,779",1/1/16,,1,2/15/17,15000000,Series A,15000000,Operating
Mavrx,https://www.crunchbase.com/organization/mavrx,"Agriculture and Farming, Science and Engineering, Hardware, Data and Analytics, Software","San Francisco, California, United States",Mavrx uses imagery and data to bring actionable insights to the global agriculture industry.,"4,289",1/1/12,,5,9/22/16,10000000,Series A,22420781,Operating
Mavrck,https://www.crunchbase.com/organization/mavrck,"Apps, Media and Entertainment, Software, Sales and Marketing, Advertising","Boston, Massachusetts, United States",Mavrck enables national consumer brands to drive sales by identifying and activating their most influential customers at scale.,"12,027",2/1/12,,4,11/13/15,5000000,Series A,8100000,Operating
Mavin,https://www.crunchbase.com/organization/mavin,"Sales and Marketing, Advertising","Palo Alto, California, United States",Mavin provides mobile internet strategic leadership for emerging markets.,"9,865",1/1/13,,4,5/23/17,3000000,Series A,9240487,Operating
Maverix Biomics,https://www.crunchbase.com/organization/maverix-biomics,"Biotechnology, Science and Engineering","San Mateo, California, United States","Maverix Biomics specializes in biologic research, bioinformatics, and enterprise application software development.","23,220",1/1/12,,1,1/7/14,6000000,Series A,6000000,Operating
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,"Apps, Software, Health Care","New York, New York, United States",Maven is a digital clinic that enables women to book video appointments with its network of health practitioners.,"1,833",1/1/14,,3,7/25/17,10800000,Series A,15300000,Operating
Mautic,https://www.crunchbase.com/organization/allyde,"Software, Sales and Marketing","Medford, Massachusetts, United States","Mautic is an open-source Marketing Automation software company which provides products, support, and cloud hosting for Mautic.","5,279",2/1/14,,3,9/20/16,5000000,Series A,5750000,Operating
MatterFab,https://www.crunchbase.com/organization/matterfab,"Manufacturing, Hardware","Bloomington, Indiana, United States",MatterFab offers a production 3D metal printer solution that removes the limitations of industrial fabrication.,"11,214",1/1/13,,3,5/27/15,5750000,Series A,13230000,Operating
Masterson Industries,https://www.crunchbase.com/organization/masterson-industries,Manufacturing,"Albuquerque, New Mexico, United States",Masterson Industries specializes in the commercial production of microgravity-enabled materials.,"40,619",1/1/12,,2,2/25/15,550000,Series A,2050000,Operating
MarkITx,https://www.crunchbase.com/organization/markitx,"Commerce and Shopping, Software","Chicago, Illinois, United States","MarkITx is an online, B2B, transparent and disruptive marketplace for enterprises to purchase, trade and sell their IT infrastructure.","20,785",4/1/12,,3,12/6/13,4200000,Series A,7410000,Was Acquired
MarcoPolo Learning,https://www.crunchbase.com/organization/marcopolo-learning,"Media and Entertainment, Education, Video, Mobile","New York, New York, United States",MarcoPolo Learning is reimagining kids media for the mobile generation.,"6,980",9/1/12,,6,4/25/17,8500000,Series A,12900000,Operating
Marc & Spring,https://www.crunchbase.com/organization/marc-spring,"Consumer Goods, Internet Services","New York, New York, United States",Marc + Spring sends personalized sales promotion details to its users via text messages.,"42,804",2/1/15,,1,6/17/15,1000000,Series A,1000000,Operating
Maple,https://www.crunchbase.com/organization/trymaple,"Food and Beverage, Transportation, Mobile","New York, New York, United States",Maple is setting a new standard in food delivery by pairing the best chefs in the city with top-flight technology and logistics,"2,624",1/1/14,5/1/17,2,3/20/15,25000000,Series A,29000000,Was Acquired
Manicube,https://www.crunchbase.com/organization/manicube,Consumer Goods,"New York, New York, United States",The mission of Manicube is to make the lives of working women easier. We are revolutionizing the personal care services industries by,"11,479",1/1/12,,2,4/14/14,5000000,Series A,5000000,Was Acquired
Mandoyo,https://www.crunchbase.com/organization/mandoyo,Commerce and Shopping,"New York, New York, United States","Mandoyo is an internet start-up company based in New York focused on individuals and businesses in the finance, marketing and IT sectors.","43,340",1/1/13,,2,8/30/13,400000,Series A,700000,Operating
MakeTime,https://www.crunchbase.com/organization/maketime-io,"Manufacturing, Commerce and Shopping, Design","Lexington, Kentucky, United States",MakeTime is a tech company that makes getting CNC machined parts simple and efficient.,"8,797",11/1/14,,3,5/3/16,8000000,Series A,11850000,Operating
Maker Media,https://www.crunchbase.com/organization/maker-media,"Commerce and Shopping, Media and Entertainment, Events, Consumer Goods","Sebastopol, California, United States",Maker Media is a global platform that connects inventors of products and services with one another.,"8,052",1/1/13,,2,6/9/15,5000000,Series A,10000000,Operating
MAGNIFI,https://www.crunchbase.com/organization/deliradio-concert-network,"Media and Entertainment, Music and Audio, Data and Analytics, Events, Video, Content and Publishing, Mobile","Emeryville, California, United States",Magnifi is a website that helps connect users to live music performances in their local area.,"20,164",1/1/13,8/1/16,1,10/8/13,9350000,Series A,9350000,Closed
Magma Flooring,https://www.crunchbase.com/organization/magma-flooring,Software,"River Falls, Wisconsin, United States","Magma Flooring LLC, founded in July 2012, is a privately held company that was spun off from Interfacial Solutions LLC.","40,487",7/1/12,,1,2/6/14,2000000,Series A,2000000,Operating
"MagicCube, Inc.",https://www.crunchbase.com/organization/magiccube-inc,"Science and Engineering, Information Technology, Data and Analytics, Software, Health Care, Payments, Internet Services, Privacy and Security, Financial Services, Artificial Intelligence, Mobile","Santa Clara, California, United States","The Device Independent IoT Security Platform Protects against On-device, Cloud, & Network attacks Malware- listeners-Loggers - Infiltration","1,958",1/1/14,,2,8/8/17,8500000,Series A,10700000,Operating
Magic Fuel Games,https://www.crunchbase.com/organization/magic-fuel-games,Gaming,"San Leandro, California, United States",We are life long game developers working on something new,"26,548",1/1/15,,1,2/23/16,2400000,Series A,2400000,Operating
Magic,https://www.crunchbase.com/organization/magic,"Apps, Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence, Mobile","San Francisco, California, United States",Magic provides a 24/7 SMS based on-demand personal assistant service.,"2,111",1/1/15,,2,3/26/15,12000000,Series A,12120000,Operating
Madison Vaccines,https://www.crunchbase.com/organization/madison-vaccines,"Biotechnology, Science and Engineering, Health Care","Madison, Wisconsin, United States",Madison Vaccines Incorporated develops vaccines for patients with prostate cancer and a test to identify such patients.,"26,365",1/1/12,,2,3/10/15,3000000,Series A,11000000,Operating
Macrolide Pharmaceuticals,https://www.crunchbase.com/organization/macrolide-pharmaceuticals,"Manufacturing, Science and Engineering, Information Technology, Health Care","Newton, Massachusetts, United States","Macrolide Pharmaceuticals, LLC. is a new anti-infective company founded to advance groundbreaking technology.","15,001",1/1/14,,1,3/4/15,22000000,Series A,22000000,Operating
Machinio,https://www.crunchbase.com/organization/machinio,"Agriculture and Farming, Commerce and Shopping, Real Estate","Chicago, Illinois, United States",Machinio is a search engine for buying and selling new and used industrial equipment and machinery.,"11,225",1/1/13,,3,7/12/16,3000000,Series A,4040000,Operating
M-ND,https://www.crunchbase.com/organization/m-nd,"Media and Entertainment, Data and Analytics, Sales and Marketing, Internet Services","New York, New York, United States",M-ND,"9,467",1/1/14,,1,4/7/17,5500000,Series A,5500000,Operating
Lysosomal Therapeutics,https://www.crunchbase.com/organization/lysosomal-therapeutics,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",Delivering cures for neurodegenerative diseases.,"8,399",1/1/14,,2,2/3/15,20000000,Series A,24800000,Was Acquired
Lyric Pharmaceuticals,https://www.crunchbase.com/organization/lyric-pharmaceuticals,Health Care,"San Francisco, California, United States",Lyric is a clinical stage company developing novel gastrointestinal therapeutics for unmet medical needs in the hospital setting.,"21,315",1/1/13,,1,2/23/15,20400000,Series A,20400000,Operating
Lyra Health,https://www.crunchbase.com/organization/lyra-health,"Information Technology, Health Care","Burlingame, California, United States",Lyra is building a data-driven platform to identify people at risk of behavioral and mental health conditions.,"3,006",1/1/15,,2,10/15/15,35000000,Series A,38100000,Operating
Lyndra Inc,https://www.crunchbase.com/organization/lyndra-inc,"Biotechnology, Science and Engineering","Cambridge, Massachusetts, United States","Lyndra's oral sustained release formulation uses FDA-approved, inexpensive materials.","7,430",1/1/15,,2,4/13/17,23000000,Series A,28932584,Operating
LVH(55 Capital),https://www.crunchbase.com/organization/lvh-55-capital,"Financial Services, Lending and Investments","Mill Valley, California, United States",LVH democratizes portfolio management and enables investors and advisors to unleash the full potential of Exchange Traded Funds (ETFs).,"6,047",1/1/15,,1,4/13/17,10000000,Series A,10000000,Operating
Luxanova,https://www.crunchbase.com/organization/luxanova,Software,"Concord, Massachusetts, United States",Luxanova is a Boston-based software startup developing enterprise solutions for the education market.,"50,797",3/14/12,,2,7/1/12,62500,Series A,112500,Operating
LUX,https://www.crunchbase.com/organization/lux-2,"Apps, Commerce and Shopping, Real Estate, Software, Internet Services, Mobile","South San Francisco, California, United States",LUX is the leading mobile app in home-styling and design. Featured as a äóìBest New Appäóù by Apple. Shop for latest smart home & new design,"19,026",7/11/15,,1,6/7/16,3500000,Series A,3500000,Operating
Luminat,https://www.crunchbase.com/organization/luminat,"Information Technology, Software, Health Care","Saint Louis Park, Minnesota, United States",At LuminÛÅt we are passionate about improving the health care system,"28,679",1/1/12,,1,12/11/14,2300000,Series A,2300000,Operating
Lumen Learning,https://www.crunchbase.com/organization/lumen-learning,"Data and Analytics, Software, Education","Portland, Oregon, United States",Lumen Learning provides high quality open courseware and support for educational institutions .,"10,530",1/1/13,,3,4/17/17,3750000,Series A,6250000,Operating
Luma,https://www.crunchbase.com/organization/luma-2,"Hardware, Information Technology, Internet Services, Privacy and Security","Atlanta, Georgia, United States",Luma is a surround WiFi system that brings home internet into the modern era.,"3,699",1/1/14,,4,9/14/16,7000000,Series A,22000000,Operating
Luka,https://www.crunchbase.com/organization/io,"Travel and Tourism, Food and Beverage, Community and Lifestyle","San Francisco, California, United States","Luka is a software development company based in San Francisco, California","5,155",12/1/14,,2,4/8/16,4420000,Series A,4540000,Operating
Lucid Sight,https://www.crunchbase.com/organization/lucid-sight,"Gaming, Hardware, Consumer Electronics, Software, Design, Advertising","Los Angeles, California, United States","Lucid Sight, Inc. develops VR games and ad technologies for the next generation of Virtual Reality and Mixed Reality devices.","17,615",1/1/15,,2,5/16/16,3500000,Series A,4000000,Operating
LQ3 Pharmaceuticals,https://www.crunchbase.com/organization/lq3-pharmaceuticals,"Biotechnology, Science and Engineering, Health Care","Morrisville, North Carolina, United States","LQ3 Pharmaceuticals, Inc. operates in the healthcare industry focusing on pharmaceutical business.","25,478",1/1/13,,1,9/10/14,10000000,Series A,10000000,Operating
LovePop,https://www.crunchbase.com/organization/lovepop,"Commerce and Shopping, Financial Services","Cambridge, Massachusetts, United States",A LovePop pop-up is a precious handmade keepsake that unfolds like a miniature surprise.,"4,473",2/1/14,,4,11/29/16,6000000,Series A,8772000,Operating
Loveland Technologies,https://www.crunchbase.com/organization/loveland-technologies,"Information Technology, Software, Government and Military","Detroit, Michigan, United States","LOVELAND Technologies develops crowdfunding and social mapping systems, with a unique creative culture and brand that mixes virtualand real.","27,623",1/1/12,,1,9/23/14,781000,Series A,781000,Operating
LoungeBuddy,https://www.crunchbase.com/organization/loungebuddy,"Platforms, Travel and Tourism, Software, Mobile","San Francisco, California, United States","LoungeBuddy is the only single resource for travelers to be able to discover, book, and access airport lounges around the world.","3,276",1/1/13,,3,2/24/15,3000000,Series A,4000000,Operating
LotusFlare,https://www.crunchbase.com/organization/lotusflare,"Hardware, Consumer Electronics, Software, Internet Services","Palo Alto, California, United States",Making mobile internet more accessible,"12,648",1/1/13,,2,9/1/15,6000000,Series A,10000000,Operating
Loot!,https://www.crunchbase.com/organization/loot,"Sales and Marketing, Advertising","San Francisco, California, United States",Businesses use Loot! to turn their influential customers into an extension of their marketing teams!,"20,968",4/1/12,,3,9/9/13,500000,Series A,1050000,Operating
Loot Crate,https://www.crunchbase.com/organization/loot-crate,"Gaming, Commerce and Shopping","Los Angeles, California, United States","Loot Crate, a monthly subscription-based service, delivers geek, gaming, and pop-culture collectibles and accessories to its subscribers.","3,015",1/1/12,,1,6/2/16,18500000,Series A,18500000,Operating
Loom Systems,https://www.crunchbase.com/organization/loom-systems,"Science and Engineering, Information Technology, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",Predict & Prevent Problems in the Digital Business,"41,308",1/1/15,,2,5/3/17,6000000,Series A,6000000,Operating
Lookback,https://www.crunchbase.com/organization/lookback,"Design, Mobile","Menlo Park, California, United States",Lookback is a platform for easy-to-use software testing solutions.,"6,086",1/1/13,,2,12/4/16,6000000,Series A,8200000,Operating
LOLA,https://www.crunchbase.com/organization/lola,Commerce and Shopping,"New York, New York, United States",LOLA is a modern approach to feminine care,"6,041",1/1/14,,3,12/12/16,7000000,Series A,11200000,Operating
LogiNext,https://www.crunchbase.com/organization/loginext-solutions,"Science and Engineering, Information Technology, Data and Analytics, Software, Transportation, Artificial Intelligence, Design","Fremont, California, United States","LogiNext offers logistic and field workforce solutions to plan, optimize, track, and analyze resource and asset movement in real-time.","5,079",10/7/14,,2,9/22/15,10000000,Series A,10600000,Operating
LogicHub,https://www.crunchbase.com/organization/logichub,"Information Technology, Privacy and Security","Mountain View, California, United States",LogicHub automates security analysts' intelligence process to reduce breach detection time.,"5,125",1/1/15,,1,2/1/17,8400000,Series A,8400000,Operating
Lodo Therapeutics,https://www.crunchbase.com/organization/lodo-therapeutics,"Biotechnology, Science and Engineering, Health Care","New York, New York, United States",Lodo Therapeutics is a drug discovery and development company.,"13,068",1/1/16,,1,1/11/16,17000000,Series A,17000000,Operating
Locus Robotics,https://www.crunchbase.com/organization/locus-robotics,"Manufacturing, Science and Engineering, Hardware, Software, Transportation","Andover, Massachusetts, United States",Locus Robotics is a Massachusetts-based warehouse robotics company.,970,1/1/14,,1,5/26/16,8000000,Series A,8000000,Operating
LOC Enterprises,https://www.crunchbase.com/organization/loc-enterprises,"Media and Entertainment, Data and Analytics","Cincinnati, Ohio, United States",LOC Enterprises offers a loyalty card app and dashboard that enables users to manage all their merchant engagements and communications.,"39,067",1/2/12,,2,10/31/13,700000,Series A,2535300,Operating
LiveStories,https://www.crunchbase.com/organization/livestories,"Information Technology, Data and Analytics, Software, Design","Seattle, Washington, United States","LiveStories is a data hub that includes a civic data library, team collaboration, and online publishingäóîall on one platform.","1,517",1/1/13,,4,7/19/17,10000000,Series A,14000000,Operating
Lively Inc.,https://www.crunchbase.com/organization/lively-formerly-hamlet,"Hardware, Software, Health Care, Internet Services, Mobile","San Francisco, California, United States",Lively is the connected home health platform that provides a medical alert device older adults actually want to wear,"12,146",1/1/12,,2,9/18/13,4800000,Series A,7400000,Was Acquired
Livelike,https://www.crunchbase.com/organization/livelike,"Apps, Hardware, Media and Entertainment, Software, Sports, Video, Mobile","New York, New York, United States",LiveLike provides on-demand sports VR media content.,"4,766",2/5/15,,4,9/21/16,5011338,Series A,5961338,Operating
Littlstar,https://www.crunchbase.com/organization/little-star-media--inc-,"Hardware, Media and Entertainment, Software, Sales and Marketing, Video, Content and Publishing, Advertising","New York, New York, United States","Littlstar is a global network dedicated exclusively to virtual reality, 360 video, and immersive experiences.","5,322",8/15/13,,3,5/24/16,5242207,Series A,6367207,Operating
LitBit,https://www.crunchbase.com/organization/litbit,"Manufacturing, Science and Engineering, Information Technology, Internet Services","San Jose, California, United States",Converged Infrastructure Solutions,"11,705",9/1/13,,2,5/4/16,7000000,Series A,9500000,Operating
Liqid,https://www.crunchbase.com/organization/liqid,"Hardware, Information Technology, Software, Internet Services","Lafayette, Colorado, United States","Liqidäó»s composable infrastructure allows users, for the first time, to configure their physical bare metal server infrastructure on-the-fly.","39,417",1/1/13,,2,5/10/17,10000000,Series A,19500000,Operating
Link Labs,https://www.crunchbase.com/organization/link-labs,"Hardware, Information Technology, Internet Services","Annapolis, Maryland, United States",Link Labs builds an ecosystem of modules that allow devices and people to connect at unparalleled distance and reliability.,"10,958",1/1/13,,2,8/23/15,5700000,Series A,5700000,Operating
Lingo Live,https://www.crunchbase.com/organization/lingo-live,"Software, Education","New York, New York, United States",Lingo Live teaches employees at multinational companies to gain the English communication skills they need to move up in their career.,"8,794",1/1/14,,3,1/12/17,5200000,Series A,6340000,Operating
Lily,https://www.crunchbase.com/organization/lily-robotics,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","San Francisco, California, United States",Lily is a flying camera that takes photos and video in the moment!.,"41,835",9/1/13,1/1/17,3,12/17/15,14000000,Series A,15000000,Closed
Likarda,https://www.crunchbase.com/organization/likarda,Health Care,"Kansas City, Kansas, United States","A world-class, cutting-edge biotech research laboratory for science entrepreneurs.","35,370",1/1/12,,1,8/28/17,4000000,Series A,4000000,Operating
LightStep,https://www.crunchbase.com/organization/lightstep,,"San Francisco, California, United States","Unprecedented visibility from mobile clients to microservices, all using end-to-end distributed tracing.","7,317",7/1/16,,1,1/10/17,9000000,Series A,9000000,Operating
LIFX,https://www.crunchbase.com/organization/lifx,"Hardware, Consumer Electronics, Internet Services","Redwood City, California, United States","LIFX is the creator of Wi Fi-enable, multi-colored LED lights controllable via a smart device.","4,471",8/7/12,,3,6/23/14,15000000,Series A,16320000,Operating
LiftIgniter,https://www.crunchbase.com/organization/liftigniter,"Science and Engineering, Information Technology, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",LiftIgniter is a machine learning personalization layer powering user interactions on every digital touchpoint.,"1,717",1/1/13,,3,8/17/17,6400000,Series A,6450000,Operating
LifeSite,https://www.crunchbase.com/organization/lifesite,"Information Technology, Internet Services, Privacy and Security","Mountain View, California, United States",LifeSite offers a secure web-based solution for its users to store critical personal information related to family records and documents.,"11,999",1/1/15,,2,12/10/15,500000,Series A,5000000,Operating
LifeDojo Inc.,https://www.crunchbase.com/organization/lifedojo,Health Care,"San Francisco, California, United States",The Grassroots Workplace Wellbeing Company,"8,686",1/1/13,,4,2/7/17,5100000,Series A,7025000,Operating
Levyx,https://www.crunchbase.com/organization/levyx,"Data and Analytics, Software","Irvine, California, United States",Levyx brings the benefits of high-speed data processing to the masses through advanced proprietary software architecture.,"17,246",1/1/13,,2,4/28/16,5400000,Series A,5400000,Operating
Level Money,https://www.crunchbase.com/organization/level-money,"Software, Payments, Financial Services, Lending and Investments","San Francisco, California, United States",Level Money provides you with a simple and clear picture of your finances.,"6,153",6/22/12,9/1/17,1,10/10/13,5000000,Series A,5000000,Was Acquired
Lessonly,https://www.crunchbase.com/organization/lesson-ly,"Software, Education","Indianapolis, Indiana, United States",Lessonly is team learning software used by over 350 teams to translate important work knowledge into Lessons that accelerate productivity.,"5,130",1/1/12,,2,3/29/16,5000000,Series A,6100000,Operating
LendingRobot,https://www.crunchbase.com/organization/lendingrobot,"Software, Internet Services, Financial Services","Bellevue, Washington, United States",Automate Peer Lending Investments,"3,436",9/18/12,,2,1/20/15,3000000,Series A,3000000,Was Acquired
Lemonaid Health (Icebreaker Health Inc),https://www.crunchbase.com/organization/icebreaker-health,"Platforms, Software, Health Care, Mobile","San Francisco, California, United States","Lemonaid Health, based in San Francisco, is leading a second wave of telehealth where technology algorithms power quality care.","40,364",1/1/13,,4,5/22/17,11000000,Series A,20708059,Operating
Leeo,https://www.crunchbase.com/organization/leeo,"Hardware, Consumer Electronics, Internet Services","Palo Alto, California, United States","We are a team of innovators with backgrounds in safety technology,","6,917",1/1/13,,1,9/18/14,37000000,Series A,37000000,Operating
LearnSprout,https://www.crunchbase.com/organization/learnsprout,"Data and Analytics, Software, Education, Artificial Intelligence","San Francisco, California, United States",LearnSprout is the first and only solution that makes big data analytics possible for non-technical educators.,"55,400",1/1/12,,2,5/13/14,4200000,Series A,4700000,Was Acquired
LeapYear Technologies,https://www.crunchbase.com/organization/leapyear-technologies,"Data and Analytics, Software, Privacy and Security, Artificial Intelligence","Berkeley, California, United States",LeapYear integrates the latest advances in machine learning and cryptography to protect data in use.,"6,428",12/9/14,,1,8/24/16,12600000,Series A,12600000,Operating
LeadCloud,https://www.crunchbase.com/organization/leadcloud,"Sales and Marketing, Advertising","Ellicott City, Maryland, United States",LeadCloud is a cloud-based integration platform,"34,103",1/1/12,,1,8/19/14,1000000,Series A,1000000,Operating
LawnStarter,https://www.crunchbase.com/organization/lawnstarter,Internet Services,"Austin, Texas, United States",LawnStarter is the easiest way to order lawn care.,"6,864",8/25/13,,4,6/2/15,6000000,Series A,7225500,Operating
Launcher.Solutions,https://www.crunchbase.com/organization/launcher-solutions,Information Technology,"Jacksonville, Florida, United States",A technology services and products provider .,"17,394",1/1/16,,1,3/14/17,5000000,Series A,5000000,Operating
LaunchDarkly,https://www.crunchbase.com/organization/launchdarkly,"Data and Analytics, Software","Oakland, California, United States","LaunchDarkly is a Feature Management Platform that serves over 10 billion feature flags daily to help teams build better software, faster.","4,483",7/14/14,,2,12/20/16,8700000,Series A,11300000,Operating
Lattice,https://www.crunchbase.com/organization/lattice-2,"Apps, Data and Analytics, Software","San Francisco, California, United States",Lattice builds performance management software for growing companies.,"1,198",10/1/15,,4,7/31/17,6400000,Series A,9320000,Operating
Latch,https://www.crunchbase.com/organization/latch,"Apps, Hardware, Software, Privacy and Security","New York, New York, United States",Latch makes access easier for everyone at a modern building.,"1,151",1/1/14,,3,5/10/17,10000000,Series A,26000000,Operating
